Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres
380,3eh51r6rFWAlGQRlHx9QnQ,Push Ups,91,2024-04-19,0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057,232774,06me0leRR3AuF4IFiEytml,Push Ups,https://i.scdn.co/image/ab67616d0000b27384bfd0d363f0179ac7c97fa5,3TVXtAsR1Inumwj472S9r4,drake,canadian hip hop canadian pop hip hop pop rap rap
381,2FZKBbotZtXLQyedIV965w,Mars,70,2024-05-07,0.84,0.456,9,-5.554,1,0.034,0.253,0.0,0.0907,0.627,100.983,187266,6ZlXpA35FslDym9FIKaygk,BLOSSOM - THE 3RD MINI ALBUM,https://i.scdn.co/image/ab67616d0000b273f520480121d1cc5024db28f0,2CQZr2RPZmrcvDnaod1ldC,do,kpop
382,7Mts0OfPorF4iwOomvfqn1,So High School,88,2024-04-19,0.366,0.866,7,-4.514,1,0.0466,0.0274,3.07e-06,0.106,0.293,176.07,228800,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
383,1dhMTsEZz6ZEquGvmzVoHn,The Alchemy,80,2024-04-18,0.64,0.421,0,-8.802,1,0.0273,0.422,0.0,0.103,0.353,100.056,196900,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
384,0Tq7v8YAmwdnAYBwyR1pZ4,"Earth, Wind & Fire",75,2024-04-15,0.664,0.888,11,-3.277,0,0.0902,0.0208,0.0,0.0623,0.617,153.089,179040,2p5IDUbayBHcmcgSNIQx6V,HOW?,https://i.scdn.co/image/ab67616d0000b273991e46e8843796184d9606d7,4hnHLgMSOiqERWBL4jINP1,boynextdoor,5th gen kpop
385,5EWf240yQq0JhlkMBSPyBN,Gata Only (Mashup),0,2024-05-06,0.782,0.521,8,-8.202,0,0.0531,0.395,7.44e-06,0.278,0.737,100.001,215400,1zfWgLPvRz1j8PzkjiBDet,Mashup 2024,https://i.scdn.co/image/ab67616d0000b273068b0fa042dbfc8a9cbdfccd,6JSZJddy1dORbnzdx2ZLG9,dj agus lima,previa
386,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,86,2017-04-14,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4eLPsYPBmXABThSJ821sqY,DAMN.,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,conscious hip hop hip hop rap west coast rap
387,7sTyAjxDXq9afwfSQy6D0s,Bandit,86,2024-02-01,0.686,0.733,2,-5.268,1,0.0576,0.00567,0.0,0.246,0.141,130.095,147746,0jSSRlhYuZmtLMrYB8pjzC,Bandit,https://i.scdn.co/image/ab67616d0000b2730fa801fe565430a143e70dda,4Gso3d4CscCijv0lmajZWs,don toliver,rap
388,3fO566xJgwxIa3qGCGBvIC,Fresh Out The Slammer,81,2024-04-18,0.33,0.483,9,-9.394,1,0.0399,0.624,0.0,0.111,0.34,87.115,210789,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
389,2gkVEnpahpE3bQuvGuCpAV,Yes or No,81,2023-11-03,0.671,0.839,1,-2.645,1,0.0866,0.179,0.0,0.0748,0.882,83.845,147557,5pSk3c3wVwnb2arb6ohCPU,GOLDEN,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,6HaGTQPmzraVmaVxvz6EUc,jung kook,kpop
