Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres,cosine_similarity_score
5,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,97,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,6qqNVTkY8uBg9cP3Jd7DAH,billie eilish,art pop pop,0.9977788202043392
7,4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),77,2024-11-23,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88.0,147973,3ZZlKPrWKSVI28zT3AGLQB,Ma Meilleure Ennemie (from the series Arcane League of Legends),https://i.scdn.co/image/ab67616d0000b2732aab4ea84f431ad7d92fecbb,5j4HeCoUlzhfWtjAfM1acR,stromae pomme arcane,belgian pop ghouse,0.9982061912747894
4,0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),85,2024-11-22,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,220690,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar lefty gunplay,conscious hip hop hip hop rap west coast rap,0.9993209894781603
2,2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),64,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,177598,1Ss0ArMRr91m83mOgRBjSZ,GNX,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar sza,conscious hip hop hip hop rap west coast rap,0.9996929639768096
3,0nj9Bq5sHDiTxSHunhgkFb,squabble up,86,2024-11-22,0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,157992,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,conscious hip hop hip hop rap west coast rap,0.9997167465696469
